observation_date,RPI_20200501
1959-01-01,2437.296
1959-02-01,2446.902
1959-03-01,2462.689
1959-04-01,2478.744
1959-05-01,2493.228
1959-06-01,2500.989
1959-07-01,2499.525
1959-08-01,2485.330
1959-09-01,2487.290
1959-10-01,2490.334
1959-11-01,2509.323
1959-12-01,2535.041
1960-01-01,2543.148
1960-02-01,2546.061
1960-03-01,2550.928
1960-04-01,2559.682
1960-05-01,2565.840
1960-06-01,2567.866
1960-07-01,2572.575
1960-08-01,2568.401
1960-09-01,2571.676
1960-10-01,2579.283
1960-11-01,2568.231
1960-12-01,2556.521
1961-01-01,2579.433
1961-02-01,2589.302
1961-03-01,2600.000
1961-04-01,2605.645
1961-05-01,2625.914
1961-06-01,2650.641
1961-07-01,2658.206
1961-08-01,2659.675
1961-09-01,2662.939
1961-10-01,2689.170
1961-11-01,2713.233
1961-12-01,2729.569
1962-01-01,2726.972
1962-02-01,2738.289
1962-03-01,2757.168
1962-04-01,2771.299
1962-05-01,2775.336
1962-06-01,2779.102
1962-07-01,2792.639
1962-08-01,2797.032
1962-09-01,2798.293
1962-10-01,2813.253
1962-11-01,2823.396
1962-12-01,2836.916
1963-01-01,2854.282
1963-02-01,2839.236
1963-03-01,2851.943
1963-04-01,2859.758
1963-05-01,2872.090
1963-06-01,2885.644
1963-07-01,2887.255
1963-08-01,2897.412
1963-09-01,2917.004
1963-10-01,2933.166
1963-11-01,2939.294
1963-12-01,2962.409
1964-01-01,2973.077
1964-02-01,2985.448
1964-03-01,3000.650
1964-04-01,3018.684
1964-05-01,3037.006
1964-06-01,3047.588
1964-07-01,3064.205
1964-08-01,3081.498
1964-09-01,3094.138
1964-10-01,3095.964
1964-11-01,3116.674
1964-12-01,3147.571
1965-01-01,3167.304
1965-02-01,3169.166
1965-03-01,3184.371
1965-04-01,3197.567
1965-05-01,3215.193
1965-06-01,3224.517
1965-07-01,3246.193
1965-08-01,3259.786
1965-09-01,3339.633
1965-10-01,3325.190
1965-11-01,3349.858
1965-12-01,3367.654
1966-01-01,3376.056
1966-02-01,3392.671
1966-03-01,3410.908
1966-04-01,3408.047
1966-05-01,3419.257
1966-06-01,3435.922
1966-07-01,3449.911
1966-08-01,3467.197
1966-09-01,3488.089
1966-10-01,3502.544
1966-11-01,3524.207
1966-12-01,3523.285
1967-01-01,3555.959
1967-02-01,3560.296
1967-03-01,3581.912
1967-04-01,3579.065
1967-05-01,3585.655
1967-06-01,3599.712
1967-07-01,3618.237
1967-08-01,3635.186
1967-09-01,3638.065
1967-10-01,3642.954
1967-11-01,3665.947
1967-12-01,3676.099
1968-01-01,3696.369
1968-02-01,3724.410
1968-03-01,3756.106
1968-04-01,3772.980
1968-05-01,3792.778
1968-06-01,3810.359
1968-07-01,3833.692
1968-08-01,3851.221
1968-09-01,3869.307
1968-10-01,3875.858
1968-11-01,3893.558
1968-12-01,3909.242
1969-01-01,3912.863
1969-02-01,3931.289
1969-03-01,3948.849
1969-04-01,3958.540
1969-05-01,3973.995
1969-06-01,3987.478
1969-07-01,4009.539
1969-08-01,4034.408
1969-09-01,4044.791
1969-10-01,4052.310
1969-11-01,4056.411
1969-12-01,4064.984
1970-01-01,4072.107
1970-02-01,4082.207
1970-03-01,4097.828
1970-04-01,4138.785
1970-05-01,4115.037
1970-06-01,4127.910
1970-07-01,4150.913
1970-08-01,4161.499
1970-09-01,4158.636
1970-10-01,4144.227
1970-11-01,4140.164
1970-12-01,4154.216
1971-01-01,4190.089
1971-02-01,4198.341
1971-03-01,4211.518
1971-04-01,4222.678
1971-05-01,4239.009
1971-06-01,4318.550
1971-07-01,4264.623
1971-08-01,4279.136
1971-09-01,4304.337
1971-10-01,4316.243
1971-11-01,4338.304
1971-12-01,4360.994
1972-01-01,4382.043
1972-02-01,4417.650
1972-03-01,4445.608
1972-04-01,4451.639
1972-05-01,4470.496
1972-06-01,4482.841
1972-07-01,4510.100
1972-08-01,4551.913
1972-09-01,4569.310
1972-10-01,4674.568
1972-11-01,4722.097
1972-12-01,4739.534
1973-01-01,4720.721
1973-02-01,4737.989
1973-03-01,4743.883
1973-04-01,4752.861
1973-05-01,4773.720
1973-06-01,4787.065
1973-07-01,4801.198
1973-08-01,4787.047
1973-09-01,4815.397
1973-10-01,4857.528
1973-11-01,4868.696
1973-12-01,4855.675
1974-01-01,4814.161
1974-02-01,4785.335
1974-03-01,4753.937
1974-04-01,4751.173
1974-05-01,4755.549
1974-06-01,4752.342
1974-07-01,4771.126
1974-08-01,4763.047
1974-09-01,4757.995
1974-10-01,4773.510
1974-11-01,4744.999
1974-12-01,4742.113
1975-01-01,4737.819
1975-02-01,4735.434
1975-03-01,4738.979
1975-04-01,4744.477
1975-05-01,4773.677
1975-06-01,4856.934
1975-07-01,4803.336
1975-08-01,4839.170
1975-09-01,4850.581
1975-10-01,4873.248
1975-11-01,4873.038
1975-12-01,4880.208
1976-01-01,4912.199
1976-02-01,4940.807
1976-03-01,4953.855
1976-04-01,4972.929
1976-05-01,4978.637
1976-06-01,4986.058
1976-07-01,5016.851
1976-08-01,5030.951
1976-09-01,5035.240
1976-10-01,5033.628
1976-11-01,5077.738
1976-12-01,5093.252
1977-01-01,5068.733
1977-02-01,5085.115
1977-03-01,5107.630
1977-04-01,5129.551
1977-05-01,5142.384
1977-06-01,5150.462
1977-07-01,5178.980
1977-08-01,5199.209
1977-09-01,5231.769
1977-10-01,5277.057
1977-11-01,5318.495
1977-12-01,5342.172
1978-01-01,5323.379
1978-02-01,5347.188
1978-03-01,5377.624
1978-04-01,5408.475
1978-05-01,5414.640
1978-06-01,5434.314
1978-07-01,5464.134
1978-08-01,5488.997
1978-09-01,5496.064
1978-10-01,5516.386
1978-11-01,5525.875
1978-12-01,5557.191
1979-01-01,5576.221
1979-02-01,5598.263
1979-03-01,5615.462
1979-04-01,5570.670
1979-05-01,5551.228
1979-06-01,5548.333
1979-07-01,5590.025
1979-08-01,5598.658
1979-09-01,5597.929
1979-10-01,5597.653
1979-11-01,5615.144
1979-12-01,5628.720
1980-01-01,5636.095
1980-02-01,5609.800
1980-03-01,5579.985
1980-04-01,5573.208
1980-05-01,5556.087
1980-06-01,5569.876
1980-07-01,5612.095
1980-08-01,5624.241
1980-09-01,5649.242
1980-10-01,5698.522
1980-11-01,5712.978
1980-12-01,5741.308
1981-01-01,5723.536
1981-02-01,5708.169
1981-03-01,5726.877
1981-04-01,5716.920
1981-05-01,5734.390
1981-06-01,5766.265
1981-07-01,5852.929
1981-08-01,5875.570
1981-09-01,5867.422
1981-10-01,5845.921
1981-11-01,5853.283
1981-12-01,5849.794
1982-01-01,5836.665
1982-02-01,5861.377
1982-03-01,5857.186
1982-04-01,5897.586
1982-05-01,5897.009
1982-06-01,5876.773
1982-07-01,5876.687
1982-08-01,5887.554
1982-09-01,5884.253
1982-10-01,5879.710
1982-11-01,5901.590
1982-12-01,5931.099
1983-01-01,5923.289
1983-02-01,5926.834
1983-03-01,5954.811
1983-04-01,5959.171
1983-05-01,5989.507
1983-06-01,5997.726
1983-07-01,6014.919
1983-08-01,6006.539
1983-09-01,6048.055
1983-10-01,6106.583
1983-11-01,6155.976
1983-12-01,6211.241
1984-01-01,6233.483
1984-02-01,6269.564
1984-03-01,6307.802
1984-04-01,6348.649
1984-05-01,6362.997
1984-06-01,6410.838
1984-07-01,6425.319
1984-08-01,6467.299
1984-09-01,6516.671
1984-10-01,6497.460
1984-11-01,6531.463
1984-12-01,6575.394
1985-01-01,6567.925
1985-02-01,6572.359
1985-03-01,6599.497
1985-04-01,6586.311
1985-05-01,6599.630
1985-06-01,6622.233
1985-07-01,6631.242
1985-08-01,6630.286
1985-09-01,6659.992
1985-10-01,6691.188
1985-11-01,6700.594
1985-12-01,6740.490
1986-01-01,6735.168
1986-02-01,6767.923
1986-03-01,6831.861
1986-04-01,6855.019
1986-05-01,6863.293
1986-06-01,6866.522
1986-07-01,6900.787
1986-08-01,6917.138
1986-09-01,6925.916
1986-10-01,6930.322
1986-11-01,6944.510
1986-12-01,6973.004
1987-01-01,6965.987
1987-02-01,6989.925
1987-03-01,7008.271
1987-04-01,7005.053
1987-05-01,7048.201
1987-06-01,7042.092
1987-07-01,7065.999
1987-08-01,7102.523
1987-09-01,7107.727
1987-10-01,7152.872
1987-11-01,7185.025
1987-12-01,7262.656
1988-01-01,7252.378
1988-02-01,7281.472
1988-03-01,7297.694
1988-04-01,7314.261
1988-05-01,7319.677
1988-06-01,7344.271
1988-07-01,7376.198
1988-08-01,7394.880
1988-09-01,7408.742
1988-10-01,7449.552
1988-11-01,7452.039
1988-12-01,7490.593
1989-01-01,7559.707
1989-02-01,7583.210
1989-03-01,7623.713
1989-04-01,7594.273
1989-05-01,7562.039
1989-06-01,7583.450
1989-07-01,7608.650
1989-08-01,7625.311
1989-09-01,7646.235
1989-10-01,7682.729
1989-11-01,7690.030
1989-12-01,7695.823
1990-01-01,7714.708
1990-02-01,7737.874
1990-03-01,7744.508
1990-04-01,7792.984
1990-05-01,7783.590
1990-06-01,7795.410
1990-07-01,7820.767
1990-08-01,7770.679
1990-09-01,7766.891
1990-10-01,7702.650
1990-11-01,7702.451
1990-12-01,7741.156
1991-01-01,7689.389
1991-02-01,7694.577
1991-03-01,7705.536
1991-04-01,7734.962
1991-05-01,7735.915
1991-06-01,7776.670
1991-07-01,7759.145
1991-08-01,7774.596
1991-09-01,7798.972
1991-10-01,7809.593
1991-11-01,7823.205
1991-12-01,7889.813
1992-01-01,7929.293
1992-02-01,7968.831
1992-03-01,7982.053
1992-04-01,8011.806
1992-05-01,8054.634
1992-06-01,8088.220
1992-07-01,8081.832
1992-08-01,8113.146
1992-09-01,8082.188
1992-10-01,8042.434
1992-11-01,8060.003
1992-12-01,8353.812
1993-01-01,8123.840
1993-02-01,8161.160
1993-03-01,8139.883
1993-04-01,8201.128
1993-05-01,8199.310
1993-06-01,8189.231
1993-07-01,8215.953
1993-08-01,8233.740
1993-09-01,8215.244
1993-10-01,8180.638
1993-11-01,8201.697
1993-12-01,8486.846
1994-01-01,8319.250
1994-02-01,8327.607
1994-03-01,8350.104
1994-04-01,8427.917
1994-05-01,8445.254
1994-06-01,8433.621
1994-07-01,8447.963
1994-08-01,8460.183
1994-09-01,8497.133
1994-10-01,8572.993
1994-11-01,8571.113
1994-12-01,8611.909
1995-01-01,8651.996
1995-02-01,8671.612
1995-03-01,8693.677
1995-04-01,8703.876
1995-05-01,8710.753
1995-06-01,8743.084
1995-07-01,8772.742
1995-08-01,8785.756
1995-09-01,8820.029
1995-10-01,8833.266
1995-11-01,8862.356
1995-12-01,8878.830
1996-01-01,8909.327
1996-02-01,8983.863
1996-03-01,9015.588
1996-04-01,9039.466
1996-05-01,9078.928
1996-06-01,9139.896
1996-07-01,9122.011
