observation_date,DPCERA3M086SBEA_20211101
1959-01-01,17.272
1959-02-01,17.452
1959-03-01,17.617
1959-04-01,17.553
1959-05-01,17.765
1959-06-01,17.831
1959-07-01,17.770
1959-08-01,17.877
1959-09-01,18.057
1959-10-01,17.934
1959-11-01,17.926
1959-12-01,17.906
1960-01-01,17.956
1960-02-01,18.034
1960-03-01,18.289
1960-04-01,18.572
1960-05-01,18.198
1960-06-01,18.194
1960-07-01,18.231
1960-08-01,18.213
1960-09-01,18.300
1960-10-01,18.389
1960-11-01,18.325
1960-12-01,18.100
1961-01-01,18.145
1961-02-01,18.212
1961-03-01,18.438
1961-04-01,18.447
1961-05-01,18.559
1961-06-01,18.604
1961-07-01,18.548
1961-08-01,18.615
1961-09-01,18.718
1961-10-01,18.836
1961-11-01,19.018
1961-12-01,19.150
1962-01-01,19.156
1962-02-01,19.147
1962-03-01,19.306
1962-04-01,19.373
1962-05-01,19.521
1962-06-01,19.423
1962-07-01,19.487
1962-08-01,19.540
1962-09-01,19.760
1962-10-01,19.662
1962-11-01,19.922
1962-12-01,20.035
1963-01-01,20.028
1963-02-01,19.953
1963-03-01,20.055
1963-04-01,20.127
1963-05-01,20.141
1963-06-01,20.335
1963-07-01,20.440
1963-08-01,20.512
1963-09-01,20.474
1963-10-01,20.462
1963-11-01,20.614
1963-12-01,20.860
1964-01-01,20.928
1964-02-01,21.075
1964-03-01,21.149
1964-04-01,21.187
1964-05-01,21.480
1964-06-01,21.603
1964-07-01,21.762
1964-08-01,21.893
1964-09-01,21.801
1964-10-01,21.944
1964-11-01,21.744
1964-12-01,21.955
1965-01-01,22.111
1965-02-01,22.464
1965-03-01,22.533
1965-04-01,22.693
1965-05-01,22.672
1965-06-01,22.483
1965-07-01,22.765
1965-08-01,22.932
1965-09-01,23.316
1965-10-01,23.641
1965-11-01,23.632
1965-12-01,23.680
1966-01-01,23.831
1966-02-01,23.991
1966-03-01,24.178
1966-04-01,24.191
1966-05-01,23.965
1966-06-01,24.029
1966-07-01,24.237
1966-08-01,24.275
1966-09-01,24.498
1966-10-01,24.391
1966-11-01,24.442
1966-12-01,24.481
1967-01-01,24.597
1967-02-01,24.506
1967-03-01,24.634
1967-04-01,24.867
1967-05-01,24.866
1967-06-01,25.012
1967-07-01,24.923
1967-08-01,24.998
1967-09-01,25.206
1967-10-01,24.970
1967-11-01,25.140
1967-12-01,25.476
1968-01-01,25.639
1968-02-01,25.664
1968-03-01,26.095
1968-04-01,25.998
1968-05-01,26.177
1968-06-01,26.401
1968-07-01,26.647
1968-08-01,26.720
1968-09-01,26.683
1968-10-01,26.727
1968-11-01,26.874
1968-12-01,26.809
1969-01-01,27.026
1969-02-01,27.198
1969-03-01,27.079
1969-04-01,27.189
1969-05-01,27.371
1969-06-01,27.266
1969-07-01,27.230
1969-08-01,27.480
1969-09-01,27.515
1969-10-01,27.657
1969-11-01,27.625
1969-12-01,27.601
1970-01-01,27.765
1970-02-01,27.887
1970-03-01,27.745
1970-04-01,27.766
1970-05-01,27.957
1970-06-01,28.051
1970-07-01,28.045
1970-08-01,28.163
1970-09-01,28.302
1970-10-01,28.130
1970-11-01,27.945
1970-12-01,28.205
1971-01-01,28.592
1971-02-01,28.646
1971-03-01,28.660
1971-04-01,28.832
1971-05-01,28.811
1971-06-01,29.044
1971-07-01,28.919
1971-08-01,29.085
1971-09-01,29.375
1971-10-01,29.446
1971-11-01,29.595
1971-12-01,29.787
1972-01-01,29.790
1972-02-01,29.862
1972-03-01,30.348
1972-04-01,30.436
1972-05-01,30.589
1972-06-01,30.688
1972-07-01,30.914
1972-08-01,31.080
1972-09-01,31.133
1972-10-01,31.647
1972-11-01,31.771
1972-12-01,31.894
1973-01-01,32.205
