observation_date,RPI_20150701
1959-01-01,2289.8
1959-02-01,2299.6
1959-03-01,2314.4
1959-04-01,2328.5
1959-05-01,2342.5
1959-06-01,2350.3
1959-07-01,2348.5
1959-08-01,2335.8
1959-09-01,2336.7
1959-10-01,2340.8
1959-11-01,2358.3
1959-12-01,2380.9
1960-01-01,2391.2
1960-02-01,2392.8
1960-03-01,2397.2
1960-04-01,2405.6
1960-05-01,2411.7
1960-06-01,2412.8
1960-07-01,2415.3
1960-08-01,2414.0
1960-09-01,2417.6
1960-10-01,2424.5
1960-11-01,2413.5
1960-12-01,2401.0
1961-01-01,2424.5
1961-02-01,2434.1
1961-03-01,2443.3
1961-04-01,2449.2
1961-05-01,2467.6
1961-06-01,2491.2
1961-07-01,2498.9
1961-08-01,2499.6
1961-09-01,2502.8
1961-10-01,2526.7
1961-11-01,2550.1
1961-12-01,2564.5
1962-01-01,2561.2
1962-02-01,2572.8
1962-03-01,2590.1
1962-04-01,2602.9
1962-05-01,2605.8
1962-06-01,2611.4
1962-07-01,2622.9
1962-08-01,2626.5
1962-09-01,2627.7
1962-10-01,2640.6
1962-11-01,2652.4
1962-12-01,2664.6
1963-01-01,2680.6
1963-02-01,2665.9
1963-03-01,2677.6
1963-04-01,2685.6
1963-05-01,2696.4
1963-06-01,2710.3
1963-07-01,2711.1
1963-08-01,2721.3
1963-09-01,2739.3
1963-10-01,2755.5
1963-11-01,2760.3
1963-12-01,2781.8
1964-01-01,2793.5
1964-02-01,2803.9
1964-03-01,2817.0
1964-04-01,2834.3
1964-05-01,2851.9
1964-06-01,2862.4
1964-07-01,2875.0
1964-08-01,2894.9
1964-09-01,2906.7
1964-10-01,2908.5
1964-11-01,2925.6
1964-12-01,2954.8
1965-01-01,2974.8
1965-02-01,2975.9
1965-03-01,2989.2
1965-04-01,3003.4
1965-05-01,3019.1
1965-06-01,3027.0
1965-07-01,3047.2
1965-08-01,3059.9
1965-09-01,3138.6
1965-10-01,3122.0
1965-11-01,3146.1
1965-12-01,3162.8
1966-01-01,3172.3
1966-02-01,3186.2
1966-03-01,3200.9
1966-04-01,3200.4
1966-05-01,3210.5
1966-06-01,3226.5
1966-07-01,3240.1
1966-08-01,3255.7
1966-09-01,3273.9
1966-10-01,3289.1
1966-11-01,3308.9
1966-12-01,3307.2
1967-01-01,3338.8
1967-02-01,3342.1
1967-03-01,3362.5
1967-04-01,3359.5
1967-05-01,3365.3
1967-06-01,3378.6
1967-07-01,3397.5
1967-08-01,3411.6
1967-09-01,3413.6
1967-10-01,3412.7
1967-11-01,3433.2
1967-12-01,3463.5
1968-01-01,3470.6
1968-02-01,3496.9
1968-03-01,3526.3
1968-04-01,3544.5
1968-05-01,3562.0
1968-06-01,3577.3
1968-07-01,3599.1
1968-08-01,3614.2
1968-09-01,3629.3
1968-10-01,3635.6
1968-11-01,3650.8
1968-12-01,3664.7
1969-01-01,3668.5
1969-02-01,3684.9
1969-03-01,3700.8
1969-04-01,3714.4
1969-05-01,3729.2
1969-06-01,3741.2
1969-07-01,3764.0
1969-08-01,3788.9
1969-09-01,3797.4
1969-10-01,3807.1
1969-11-01,3808.7
1969-12-01,3815.6
1970-01-01,3823.6
1970-02-01,3831.1
1970-03-01,3843.9
1970-04-01,3890.9
1970-05-01,3864.6
1970-06-01,3858.6
1970-07-01,3888.5
1970-08-01,3899.7
1970-09-01,3906.2
1970-10-01,3887.4
1970-11-01,3881.9
1970-12-01,3893.2
1971-01-01,3929.6
1971-02-01,3937.4
1971-03-01,3948.5
1971-04-01,3961.5
1971-05-01,3975.1
1971-06-01,4047.8
1971-07-01,3998.7
1971-08-01,4019.1
1971-09-01,4031.0
1971-10-01,4043.6
1971-11-01,4067.4
1971-12-01,4095.0
1972-01-01,4112.8
1972-02-01,4144.0
1972-03-01,4164.9
1972-04-01,4176.5
1972-05-01,4192.4
1972-06-01,4200.6
1972-07-01,4228.3
1972-08-01,4267.8
1972-09-01,4283.1
1972-10-01,4381.3
1972-11-01,4426.4
1972-12-01,4440.5
1973-01-01,4423.5
1973-02-01,4438.9
1973-03-01,4442.2
1973-04-01,4451.7
1973-05-01,4469.7
1973-06-01,4481.7
1973-07-01,4494.6
1973-08-01,4482.4
1973-09-01,4508.3
1973-10-01,4548.4
1973-11-01,4558.9
1973-12-01,4545.6
1974-01-01,4509.3
1974-02-01,4480.9
1974-03-01,4450.5
1974-04-01,4447.0
1974-05-01,4451.0
1974-06-01,4453.8
1974-07-01,4477.2
1974-08-01,4456.7
1974-09-01,4449.8
1974-10-01,4469.9
1974-11-01,4444.2
1974-12-01,4440.5
1975-01-01,4437.2
1975-02-01,4434.0
1975-03-01,4437.0
1975-04-01,4444.4
1975-05-01,4470.3
1975-06-01,4546.8
1975-07-01,4498.3
1975-08-01,4531.2
1975-09-01,4543.1
1975-10-01,4563.7
1975-11-01,4563.5
1975-12-01,4568.5
1976-01-01,4597.2
1976-02-01,4623.7
1976-03-01,4636.1
1976-04-01,4652.3
1976-05-01,4657.6
1976-06-01,4663.0
1976-07-01,4692.3
1976-08-01,4704.3
1976-09-01,4707.6
1976-10-01,4707.9
1976-11-01,4748.5
1976-12-01,4756.9
1977-01-01,4726.2
1977-02-01,4743.1
1977-03-01,4767.3
1977-04-01,4794.8
1977-05-01,4810.5
1977-06-01,4819.9
1977-07-01,4849.5
1977-08-01,4869.4
1977-09-01,4899.6
1977-10-01,4942.9
1977-11-01,4982.6
1977-12-01,5002.9
1978-01-01,4983.7
1978-02-01,5005.5
1978-03-01,5033.2
1978-04-01,5060.6
1978-05-01,5065.1
1978-06-01,5083.1
1978-07-01,5110.2
1978-08-01,5132.3
1978-09-01,5138.3
1978-10-01,5162.2
1978-11-01,5172.5
1978-12-01,5204.4
1979-01-01,5213.2
1979-02-01,5233.8
1979-03-01,5250.8
1979-04-01,5210.1
1979-05-01,5191.7
1979-06-01,5189.3
1979-07-01,5229.2
1979-08-01,5236.3
1979-09-01,5237.7
1979-10-01,5245.3
1979-11-01,5264.4
1979-12-01,5280.9
1980-01-01,5286.3
1980-02-01,5260.9
1980-03-01,5225.6
1980-04-01,5197.1
1980-05-01,5184.5
1980-06-01,5193.8
1980-07-01,5234.8
1980-08-01,5249.6
1980-09-01,5277.9
1980-10-01,5343.4
1980-11-01,5361.5
1980-12-01,5387.8
1981-01-01,5361.4
1981-02-01,5343.9
1981-03-01,5358.9
1981-04-01,5347.8
