observation_date,DPCERA3M086SBEA_20240501
1959-01-01,15.188
1959-02-01,15.346
1959-03-01,15.491
1959-04-01,15.435
1959-05-01,15.622
1959-06-01,15.679
1959-07-01,15.626
1959-08-01,15.720
1959-09-01,15.878
1959-10-01,15.770
1959-11-01,15.763
1959-12-01,15.745
1960-01-01,15.789
1960-02-01,15.858
1960-03-01,16.083
1960-04-01,16.331
1960-05-01,16.002
1960-06-01,15.998
1960-07-01,16.031
1960-08-01,16.016
1960-09-01,16.092
1960-10-01,16.170
1960-11-01,16.114
1960-12-01,15.916
1961-01-01,15.956
1961-02-01,16.014
1961-03-01,16.213
1961-04-01,16.221
1961-05-01,16.320
1961-06-01,16.359
1961-07-01,16.310
1961-08-01,16.368
1961-09-01,16.460
1961-10-01,16.563
1961-11-01,16.724
1961-12-01,16.840
1962-01-01,16.845
1962-02-01,16.837
1962-03-01,16.976
1962-04-01,17.035
1962-05-01,17.166
1962-06-01,17.080
1962-07-01,17.135
1962-08-01,17.183
1962-09-01,17.375
1962-10-01,17.289
1962-11-01,17.519
1962-12-01,17.617
1963-01-01,17.612
1963-02-01,17.546
1963-03-01,17.635
1963-04-01,17.699
1963-05-01,17.710
1963-06-01,17.881
1963-07-01,17.973
1963-08-01,18.037
1963-09-01,18.003
1963-10-01,17.993
1963-11-01,18.127
1963-12-01,18.343
1964-01-01,18.402
1964-02-01,18.532
1964-03-01,18.597
1964-04-01,18.630
1964-05-01,18.888
1964-06-01,18.996
1964-07-01,19.136
1964-08-01,19.251
1964-09-01,19.171
1964-10-01,19.296
1964-11-01,19.121
1964-12-01,19.306
1965-01-01,19.443
1965-02-01,19.753
1965-03-01,19.814
1965-04-01,19.955
1965-05-01,19.936
1965-06-01,19.770
1965-07-01,20.018
1965-08-01,20.165
1965-09-01,20.502
1965-10-01,20.789
1965-11-01,20.780
1965-12-01,20.823
1966-01-01,20.956
1966-02-01,21.097
1966-03-01,21.261
1966-04-01,21.272
1966-05-01,21.074
1966-06-01,21.130
1966-07-01,21.312
1966-08-01,21.345
1966-09-01,21.542
1966-10-01,21.448
1966-11-01,21.493
1966-12-01,21.527
1967-01-01,21.629
1967-02-01,21.549
1967-03-01,21.661
1967-04-01,21.867
1967-05-01,21.865
1967-06-01,21.994
1967-07-01,21.916
1967-08-01,21.981
1967-09-01,22.165
1967-10-01,21.957
1967-11-01,22.107
1967-12-01,22.402
1968-01-01,22.545
1968-02-01,22.568
1968-03-01,22.946
1968-04-01,22.861
1968-05-01,23.019
1968-06-01,23.216
1968-07-01,23.432
1968-08-01,23.496
1968-09-01,23.463
1968-10-01,23.502
1968-11-01,23.632
1968-12-01,23.574
1969-01-01,23.765
1969-02-01,23.916
1969-03-01,23.811
1969-04-01,23.908
1969-05-01,24.069
1969-06-01,23.976
1969-07-01,23.945
1969-08-01,24.165
1969-09-01,24.195
1969-10-01,24.320
1969-11-01,24.292
1969-12-01,24.270
1970-01-01,24.415
1970-02-01,24.522
1970-03-01,24.397
1970-04-01,24.416
1970-05-01,24.584
1970-06-01,24.667
1970-07-01,24.661
1970-08-01,24.765
1970-09-01,24.887
1970-10-01,24.736
1970-11-01,24.573
1970-12-01,24.802
1971-01-01,25.142
1971-02-01,25.189
1971-03-01,25.202
1971-04-01,25.353
1971-05-01,25.335
1971-06-01,25.539
1971-07-01,25.430
1971-08-01,25.575
1971-09-01,25.830
1971-10-01,25.893
1971-11-01,26.024
1971-12-01,26.192
1972-01-01,26.196
1972-02-01,26.259
1972-03-01,26.686
1972-04-01,26.764
1972-05-01,26.898
1972-06-01,26.985
1972-07-01,27.184
1972-08-01,27.330
1972-09-01,27.377
1972-10-01,27.829
1972-11-01,27.938
1972-12-01,28.045
1973-01-01,28.319
1973-02-01,28.493
1973-03-01,28.530
1973-04-01,28.418
1973-05-01,28.478
1973-06-01,28.407
1973-07-01,28.633
1973-08-01,28.278
1973-09-01,28.693
1973-10-01,28.496
1973-11-01,28.547
1973-12-01,28.305
1974-01-01,28.289
1974-02-01,28.126
1974-03-01,28.170
1974-04-01,28.264
1974-05-01,28.346
1974-06-01,28.279
1974-07-01,28.372
1974-08-01,28.584
1974-09-01,28.298
1974-10-01,28.220
1974-11-01,27.921
1974-12-01,27.867
1975-01-01,28.094
1975-02-01,28.339
1975-03-01,28.279
1975-04-01,28.311
1975-05-01,28.877
1975-06-01,28.918
1975-07-01,29.035
1975-08-01,29.110
1975-09-01,29.184
1975-10-01,29.182
1975-11-01,29.403
1975-12-01,29.684
1976-01-01,29.978
1976-02-01,29.953
1976-03-01,30.102
1976-04-01,30.317
1976-05-01,30.100
1976-06-01,30.444
1976-07-01,30.532
1976-08-01,30.586
1976-09-01,30.700
1976-10-01,30.748
1976-11-01,30.926
1976-12-01,31.336
1977-01-01,31.246
1977-02-01,31.420
1977-03-01,31.441
1977-04-01,31.485
1977-05-01,31.572
1977-06-01,31.560
1977-07-01,31.816
1977-08-01,31.798
1977-09-01,31.897
